C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5-6.xdf,12.12.24,15:40:41,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,550,-0.0831944,-0.1330408,550,0.0055821,-0.0000299,550,0.0038246,-0.0031651,550,-0.004058,0.0028085,550,-1.985238,5.9249139,550,1.8670605,-6.51897
,556.25,-0.0242211,0.1805134,556.25,-0.0050073,-0.0031917,556.25,-0.0026334,-0.0011748,556.25,0.0019871,0.0004453,556.25,5.2683568,-21.9675655,556.25,9.9069653,-4.3102751
,562.5,0.0875234,-0.1017791,562.5,0.0007865,0.0046327,562.5,-0.000069,0.0043402,562.5,0.0008445,-0.0008033,562.5,-19.8831158,12.1939993,562.5,-13.774663,16.8177681
,568.75,-0.0414985,-0.0809108,568.75,0.0014819,-0.0037948,568.75,0.0018815,-0.0045096,568.75,-0.0001799,-0.0014904,568.75,42.9100685,6.7503486,568.75,4.6500735,-4.1235251
,575,0.057045,0.0641438,575,0.0009595,0.0045612,575,-0.0031285,0.0037593,575,0.0002306,0.0027984,575,-40.6195564,-15.1528339,575,2.7970953,-6.2850504
,581.25,-0.1413938,0.0700307,581.25,-0.0040029,-0.0037415,581.25,0.0014479,-0.0018484,581.25,-0.0008433,-0.0013824,581.25,7.3875961,23.9686089,581.25,0.0861067,1.4349977
,587.5,0.1381845,-0.1575896,587.5,0.0005655,0.0035375,587.5,-0.0021354,0.0015722,587.5,0.0005979,-0.0004014,587.5,8.5054588,-20.951828,587.5,1.990189,2.2456567
,593.75,-0.0789026,0.1433107,593.75,0.0037574,-0.007738,593.75,0.0044283,-0.0061156,593.75,-0.000285,0.0010501,593.75,1.5668544,1.0364721,593.75,-12.4821978,4.7352252
,600,-0.0316803,-0.0267714,600,-0.0002609,0.0124874,600,-0.000742,0.0104672,600,-0.0009136,-0.0011397,600,-11.7303762,14.8139305,600,18.2984772,-8.1953735
,606.25,0.1321417,0.0643787,606.25,-0.0047667,-0.0101151,606.25,-0.0046905,-0.0067102,606.25,0.0026451,0.0004493,606.25,16.345438,-4.0591168,606.25,-6.8253555,-9.0288515
,612.5,-0.090614,-0.1370458,612.5,0.0034646,0.00118,612.5,0.0030213,-0.0016413,612.5,-0.0015168,0.0003817,612.5,-6.3916168,-11.0718431,612.5,-5.9926934,17.7084351
,618.75,0.0406276,-0.0339272,618.75,-0.0026392,0.0043694,618.75,0.0005039,0.006028,618.75,-0.0008526,-0.0022153,618.75,-2.1525116,3.7327082,618.75,-10.0862188,-4.9156408
,625,-0.0859749,0.2307622,625,0.0031759,-0.0021974,625,-0.0009569,-0.0039575,625,0.0018873,0.0034834,625,-2.9946091,3.8241744,625,19.737318,-17.0030556
